CÓDIGO;DESIGNAÇÃO;STOCK TOT;LOCALIZACAO;STOCK;PVP;VALOR VENDAS;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;JAN;FEV;MAR;T Uni
2595189;Telfast, 180 mg x 20 comp rev;12;43;12;11,65;;0;1;1;0;5;4;3;0;2;2;5;7;1;1;0;32
6765768;Tonimer Gel Nasal 20 Ml;0;43;0;14,1;;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;4
9775403;Transpulmina (Adulto) (20 g), 25/100/50 mg/g x 1 pda inal vap;0;43;0;7,5;;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;4
9883306;Vaporil, 100 mL x 1 sol inal vap;0;43;0;7,95;;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;5
8144923;Vibrocil , 0.25 mg/ml + 2.5 mg/ml Frasco nebulizador 15 ml Sol inal neb;9;43;9;8,8;;17;14;8;6;9;6;5;4;8;11;5;17;14;8;7;139
9014415;Vibrocil Actilong, 0,5 mg/mL-10 mL x 1 sol nasal conta-gotas;0;43;0;7,4;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
2910792;Vibrocil Actilong, 1 mg/mL-10 mL x 1 sol inal neb mL;10;43;10;8,45;;2;4;2;2;4;3;1;0;0;0;2;4;1;3;3;31
9014407;Vibrocil Actilong, 1 mg/mL-10 mL x 1 sol nasal conta-gotas;0;43;0;7,35;;0;1;2;0;0;1;1;0;2;2;0;1;2;3;1;16
8144816;Vibrocil (15 mL), 0,25/2,5 mg/mL x 1 sol nasal conta-gotas;0;43;0;7,65;;3;1;3;2;1;1;0;2;6;3;1;3;1;1;0;28
2034288;Vicks Inalador, 410/410 mg/1 g x 1 inal stick;9;43;9;4,3;;2;3;2;2;2;1;0;0;0;3;8;6;2;1;0;32
3632783;Vicks Sinex Aloe , 0.5 mg/ml Frasco 15 ml Sol pulv nasal;8;43;8;8,65;;0;1;0;0;0;0;0;0;0;0;0;0;3;1;1;6
2889087;Vicks Vaporub, 100 g x 1 pda;2;43;2;10,9;;1;0;0;0;0;1;0;0;0;1;2;1;1;1;1;9
2888980;Vicks Vaporub, 50 g x 1 pda;2;43;2;7,5;;5;7;4;2;4;2;3;1;1;7;3;4;10;4;4;61
8523308;Vicks Vapospray, 0,5 mg/mL x 15 sol pulv nasal;0;43;0;5,75;;5;4;5;4;3;2;2;1;0;4;3;5;3;3;5;49
6789693;Wet  Gel Nasal 20 Ml;0;43;0;12,3;;0;2;0;1;1;2;0;0;1;0;0;0;0;0;1;8
6789685;Wet Mini Spray Nasal 4 X 15 Ml ;0;43;0;16,47;;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2
9717900;Zyrtec, 10 mg x 20 comp rev;3;43;3;11,4;;4;2;1;2;1;5;4;4;3;3;3;4;5;2;3;46
