cod;nome;pvp;classif;ATC;ATC ativo
6150722;Nasomar Descong Spray Nasal Hipert 50 Ml;9,3;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6518555;Nasomar Spray Ad 150 Ml;11,6;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
7004945;Nasonatural Spray Nasal 20ml;8,2;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6633305;Nasopure Recargas Saq X30;18,62;14.1.1 - Descongestionantes;R01AA08;Xilometazolina
6411249;Nasopure Recargas Saq X40;23,61;14.1.1 - Descongestionantes;R01AA05;Oximetazolina
6411231;Nasopure Sistema Irrigacao Nasal;18;14.1.1 - Descongestionantes;R01AA05;Oximetazolina
9679704;Nasorhinathiol, 0,25 mg/mL-15mL x 1 sol nasal conta-gotas;9,25;15.2.3 - Outros anti-inflamatórios, descongestionantes e antialérgicos;S01GX01;Ácido cromoglícico
9679712;Nasorhinathiol, 0,5 mg/mL-15 mL x 1 sol nasal conta-gotas;9,25;15.2.3 - Outros anti-inflamatórios, descongestionantes e antialérgicos;S01GX01;Ácido cromoglícico
9679720;Nasorhinathiol, 0,5 mg/mL-15 mL x 1 sol pulv nasal;9,65;15.2.3 - Outros anti-inflamatórios, descongestionantes e antialérgicos;S01GX01;Ácido cromoglícico
6155713;Nazanol 5% Spray Nasal 20 Ml;8,09;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6405522;Neo Sinefrina Prevent Spray Ag Mar125Ml;13,3;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6099689;Neo Sinefrina Rapid Nebulizador 20ml;10,4;14.1.1 - Descongestionantes;R01AA08;Xilometazolina
6403188;Neo-Sinasal Spray Nasal 20 Ml;8,68;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
8437004;Neo-Sinefrina Alergo (200 doses), 50 mcg/dose x 1 susp pulv nasal;13,4;15.2.3 - Outros anti-inflamatórios, descongestionantes e antialérgicos;S01GX01;Ácido cromoglícico
9908731;Neo-Sinefrina, 2,5 mg/mL-15 mL x 1 sol nasal conta-gotas;8,95;15.2.3 - Outros anti-inflamatórios, descongestionantes e antialérgicos;S01GX01;Ácido cromoglícico
9908756;Neo-Sinefrina, 5 mg/mL-15 mL x 1 sol nasal conta-gotas;8,95;15.2.3 - Outros anti-inflamatórios, descongestionantes e antialérgicos;S01GX01;Ácido cromoglícico
5585864;Otrivina, 0,5 mg/mL-10 mL x 1 sol nasal conta-gotas;5,92;14.1.1 - Descongestionantes;R01AA05;Oximetazolina
6400838;Pari Montesol Sol Limp Nasal 250 Ml;12,95;14.1.1 - Descongestionantes;R01AA08;Xilometazolina
6293357;Pharysolsinus Nebulizador Nasal 15ML;11,96;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6304725;Physiodose Ag Mar Fluidific 100ml;11,39;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6304717;Physiodose Ag Mar Hipertonica 100ml;9,75;14.1.1 - Descongestionantes;R01AA08;Xilometazolina
6400804;Physiodose Ag Mar Hipertonica 30ml;6,77;14.1.1 - Descongestionantes;R01AA05;Oximetazolina
6304709;Physiodose Ag Mar Isotonica 100ml;8,95;14.1.1 - Descongestionantes;R01AA09;Xilometazolina
3141488;Pulmicort Nasal Aqua (120 doses), 32 mcg/dose x 1 susp pulv nasal;9,25;14.1.2 - Corticosteróides;R01AD05;Budesonida
3141686;Pulmicort Nasal Aqua (120 doses), 64 mcg/dose x 1 susp pulv nasal;11,95;14.1.2 - Corticosteróides;R01AD06;Budesonida
6217018;Puranox Spray Or Ressonar 75 Ml;16,33;14.1.1 - Descongestionantes;R01AA05;Oximetazolina
6049874;Rezimar Duche Nasal 100ml;16,1;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6210971;Rezitop Spray Nasal 20ml;14,6;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
7244228;Rhinodouche Sal Saq Lav Nasal 5G X40;24,9;14.1.1 - Descongestionantes;R01AA08;Xilometazolina
6163204;Rhinodouche Sal Xl Saq Lav Nasal 5Gx40;24,28;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6163196;Rhinodouche Sist Lav Nas+Bol+Sup+5Saq;27,09;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6391151;Rhinodouche Sist Lav Nasal+26Saq;29,95;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6424796;Rhinodouche Sist Lav Nasal+5Saq;30,9;14.1.1 - Descongestionantes;R01AA08;Xilometazolina
6237271;Rhinomer Aloe Vera Spray Nasal 100ml;12,25;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6208058;Rhinomer Intense Spray Nasal Eucalipt 20ml;8,85;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6133983;Rhinomer Mini Spray Nasal 23 Ml ;6,4;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6211045;Rhinomer Spray Nasal Forca 1 135ml;12,3;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6699314;Rhinomer Spray Nasal Forca 2 135ml;12,3;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6099903;Rhinomer Spray Nasal Forca 2 180Ml;12,4;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6699322;Rhinomer Spray Nasal Forca 3 135ml;12,3;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6099911;Rhinomer Spray Nasal Forca 3 180Ml;12,75;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
8116707;Rhinospray, 1,18 mg/mL-10mL x 1 sol pulv nasal;8,6;14.1.1 - Descongestionantes;R01AA09 ;Rhinospray
9264309;Rinerge, 0,5 mg/mL-10mL x 1 sol pulv nasal;7,35;14.1.1 - Descongestionantes;R01AA05;Oximetazolina
5689674;Septanazal, 1/50 mg/mL-10mL x 1 sol pulv nasal;8,45;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
5710611;Snup, 1 mg/mL-15 mL x 1 sol pulv nasal;6,75;14.1.1 - Descongestionantes;R01AA08;Xilometazolina
6113829;Soro Fisiologico 0,9% 30ml Gsl;0,55;12.2.5 - Sódio;B05CB01;Cloreto de sódio
7732974;Soro Fisiologico Gts 60 Ml Aliand;0,9;12.2.5 - Sódio;B05CB01;Cloreto de sódio
7745067;Soro Fisiologico Gts Nasal 100 Ml Plural;0,95;12.2.5 - Sódio;B05CB01;Cloreto de sódio
7745083;Soro Fisiologico Gts Nasal 60 Ml Plural;0,65;12.2.5 - Sódio;B05CB01;Cloreto de sódio
6266866;Soro Fisiologico Spray 0,9% 60ML Alifar;3,83;12.2.5 - Sódio;B05CB01;Cloreto de sódio
6108969;Soro Fisiologico Spray Nasal 100 Ml Aliand;2,47;12.2.5 - Sódio;B05CB01;Cloreto de sódio
6769711;Sterimar Ag Mar  50 Ml;7,5;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6712836;Sterimar Ag Mar 100ml;9,7;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6104505;Sterimar Mn Ag Mar Manganesio 100ml;11,6;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
9232116;Tavegyl, 1 mg x 10 comp;10,04;10.1 - Anti-histamínicos H1 sedativos e não sedativos;R06AA04;Clemastina
5349964;Telfast 120, 120 mg x 10 comp rev;5,99;10.1 - Anti-histamínicos H1 sedativos e não sedativos;R06AX26 ;Fexofenadina
2594984;Telfast 120, 120 mg x 20 comp rev;10,65;10.1 - Anti-histamínicos H1 sedativos e não sedativos;R06AX26;Fexofenadina
5404603;Telfast Spray Nasal (120 doses), 55 mcg/dose x 1 susp pulv nasal;14,1;10.1 - Anti-histamínicos H1 sedativos e não sedativos;R06AX26;Fexofenadina
2595189;Telfast, 180 mg x 20 comp rev;11,65;10.1 - Anti-histamínicos H1 sedativos e não sedativos;R06AX26 ;Fexofenadina
6765768;Tonimer Gel Nasal 20 Ml;14,1;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
9775403;Transpulmina (Adulto) (20 g), 25/100/50 mg/g x 1 pda inal vap;7,5;5.2.3 - Associações e medicamentos descongestionantes;R05X;Cânfora + Eucaliptol + Mentol
6038448;Uriage Ag Term Spray Nasal100ml;9,99;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
9883306;Vaporil, 100 mL x 1 sol inal vap;7,95;14.1.1 - Descongestionantes;R07A;Óleo essencial de Tomilho + Tintura de Benjoim + Tintura de Eucalipto
8144816;Vibrocil (15 mL), 0,25/2,5 mg/mL x 1 sol nasal conta-gotas;7,65;14.1.1 - Descongestionantes;R01AX10;Dimetindeno + Fenilefrina
8144923;Vibrocil , 0.25 mg/ml + 2.5 mg/ml Frasco nebulizador 15 ml Sol inal neb;8,8;14.1.1 - Descongestionantes;R01AX10;Dimetindeno + Fenilefrina
3474285;Vibrocil Actilong Mentol, 1 mg/mL-10 mL x 1 sol inal neb mL;8,65;14.1.1 - Descongestionantes;R01AX10;Dimetindeno + Fenilefrina
9014415;Vibrocil Actilong, 0,5 mg/mL-10 mL x 1 sol nasal conta-gotas;7,4;14.1.1 - Descongestionantes;R01AX10;Dimetindeno + Fenilefrina
2910792;Vibrocil Actilong, 1 mg/mL-10 mL x 1 sol inal neb mL;8,45;14.1.1 - Descongestionantes;R01AX10;Dimetindeno + Fenilefrina
9014407;Vibrocil Actilong, 1 mg/mL-10 mL x 1 sol nasal conta-gotas;7,35;14.1.1 - Descongestionantes;R01AX10;Dimetindeno + Fenilefrina
5155056;Vibrocil ActilongDuo (10mL), 0,5/0,6 mg/mL x 1 sol pulv nasal;8,65;14.1.1 - Descongestionantes;R01AX10;Dimetindeno + Fenilefrina
5752811;Vibrocil ActilongProtect, 1/50 mg/mL-15mL x 1 sol pulv nasal;9,65;14.1.1 - Descongestionantes;R01AX10;Dimetindeno + Fenilefrina
5658323;Vibrocil Anti-Alergias , 50 µg/dose Frasco nebulizador 60 dose Susp pulv nasal;13,5;14.1.1 - Descongestionantes;R01AA08;Xilometazolina
2034288;Vicks Inalador, 410/410 mg/1 g x 1 inal stick;4,3;14.1.1 - Descongestionantes;R01A;Cânfora + Mentol
3632783;Vicks Sinex Aloe , 0.5 mg/ml Frasco 15 ml Sol pulv nasal;8,65;14.1.1 - Descongestionantes;R01A;Cânfora + Mentol
5670815;Vicks Sinex Respir , 0,5 mg/ml Frasco 10 ml Sol pulv nasal;10,7;14.1.1 - Descongestionantes;R01AA08;Xilometazolina
6304998;Vicks Vapomar Spray Nasal Hipert 100ml;7,69;14.1.1 - Descongestionantes;R01A ;Cânfora + Mentol
2889087;Vicks Vaporub, 100 g x 1 pda;10,9;14.1.1 - Descongestionantes;R01A;Cânfora + Mentol
2888980;Vicks Vaporub, 50 g x 1 pda;7,5;14.1.1 - Descongestionantes;R01A;Cânfora + Mentol
8523308;Vicks Vapospray, 0,5 mg/mL x 15 sol pulv nasal;5,75;14.1.1 - Descongestionantes;R01A;Cânfora + Mentol
6789693;Wet  Gel Nasal 20 Ml;12,3;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
6789685;Wet Mini Spray Nasal 4 X 15 Ml ;16,47;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
5434071;Xymeral, 0,5 mg/mL-10mL x 1 sol pulv nasal;9,6;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
5434063;Xymeral, 1 mg/mL-10 mL x 1 sol pulv nasal;7,4;14.1.1 - Descongestionantes;R01AA07;Xilometazolina
9717900;Zyrtec, 10 mg x 20 comp rev;11,4;10.1 - Anti-histamínicos H1 sedativos e não sedativos;R06AE07;Cetirizina
